tooltype;steel;stainless;castiron;aluminum;universal;catnum;invnum;unit;grinded;mfr;holdertype;tipdiamm;tipdiainch;shankdia;pitch;neckdia;tslotdp;toollen;splen;worklen;bladecnt;tiptype;tipsize;material;coating;inserttype;cabinet;qty;issued;avail;minqty;secocab;sandvikcab;kennacab;niagaracab;extcab;sourcetable;subtype
Sphere Mill;0;0;0;0;1;51QLZ443;777.9223.2142;mm;Yes;Niagara Cutter;SK-40;2;0.0787;46;N/A;N/A;N/A;121.0;37.0;74.04;3;30°;N/A;HSS;Aluminium Titanium Nitride;Type 2;3_D_6;6;0;6;4;N/A;N/A;N/A;5_A_8;14;tool;Sphere Mill
Drill;0;0;0;0;1;93MJT327;799.5182.3698;inch;Yes;KENNAMETAL;HSK-A63;38.1;1.5;19;N/A;N/A;N/A;87.0;41.72;59.0;5;N/A;N/A;HSS;Aluminium Titanium Nitride;N/A;6_A_11;13;3;10;0;N/A;N/A;5_A_13;N/A;8;tool;Modular Drill
Thread Tap;1;0;1;1;0;21JNS344;798.2495.9157;inch;No;KENNAMETAL;HSK-A63;6.35;0.25;26;M6;N/A;N/A;186.0;21.0;34.77;2;N/A;N/A;VHM;None;N/A;4_F_10;11;1;10;5;N/A;N/A;4_D_1;N/A;16;tool;Blind Hole Thread Tap
Chamfer Mill;0;0;0;0;1;86AWY800;787.8421.4946;mm;No;Niagara Cutter;HSK-A63;6;0.2362;15;N/A;N/A;N/A;155.0;54.0;139.24;9;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 3;2_F_9;3;2;1;1;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;1;1;0;0;83NDG996;766.9945.9895;mm;No;KENNAMETAL;SK-40;2.5;0.0984;50;N/A;N/A;N/A;102.0;78.79;85.38;8;N/A;3;HSS;None;Type 1;5_E_4;0;0;0;0;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Sphere Mill;0;0;0;0;1;93AAV813;767.6230.8369;mm;No;KENNAMETAL;HSK-A63;4.5;0.1772;26;N/A;N/A;N/A;157.05;14.0;22.15;8;N/A;N/A;HSS;Diamond;Type 2;1_F_11;13;3;10;4;N/A;N/A;1_D_5;N/A;47;tool;Sphere Mill
Drill;0;0;0;0;1;39GVB527;704.9817.7960;mm;Yes;KENNAMETAL;SK-40;3;0.1181;14;N/A;N/A;N/A;198.0;35.86;49.0;2;90°;0.5;HSS;Diamond;N/A;1_A_2;8;5;3;3;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Drill;0;0;0;0;1;28QRO882;759.4258.4259;mm;No;Niagara Cutter;SK-40;3;0.1181;33;N/A;N/A;N/A;135.71;20.03;128.0;7;45°;N/A;HSS;None;Type 1;6_C_7;6;0;6;0;N/A;N/A;N/A;4_F_4;30;tool;Pilot Drill
End Mill;1;1;0;0;0;52HJK335;765.7389.4511;inch;Yes;SECO;HSK-A63;31.75;1.25;49;N/A;N/A;N/A;163.0;46.72;71.0;6;90°;0.03;VHM;Aluminium Titanium Nitride;N/A;1_C_3;15;5;10;13;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
Face Mill;0;0;0;0;1;53KRW407;760.8256.2272;inch;Yes;SECO;SK-40;6.35;0.25;13;N/A;N/A;N/A;119.48;22.0;91.92;6;N/A;0.03;HSS;None;Type 3;1_A_11;10;4;6;4;N/A;N/A;N/A;N/A;0;tool;Face Mill
Thread Tap;0;0;0;0;1;14AEG980;758.8586.6883;inch;No;Garant;HSK-A63;9.525;0.375;23;M12;N/A;N/A;96.59;17.0;40.0;4;30°;0.03;VHM;None;Type 2;4_E_15;7;5;2;4;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Chamfer Mill;0;0;0;0;1;17ZSG681;732.5458.9318;mm;No;SECO;SK-40;8;0.315;32;N/A;N/A;N/A;166.69;21.0;79.0;9;45°;1;HSS;Diamond;Type 3;5_E_14;10;4;6;2;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
T-Slot Mill;1;1;0;0;0;76BYN583;757.9605.6211;inch;Yes;Garant;HSK-A63;44.45;1.75;17;N/A;11;10.0229;187.18;113.68;180.34;10;45°;0.03;HSS;Diamond;N/A;6_F_3;3;1;2;2;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Sphere Mill;0;0;0;0;1;84CDS213;733.1498.1949;inch;No;SECO;SK-40;6.35;0.25;15;N/A;N/A;N/A;65.0;19.25;44.0;8;90°;N/A;VHM;Titanium Nitride;Type 2;4_F_15;3;1;2;3;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
T-Slot Mill;0;1;0;1;0;48NGO857;731.6649.2365;inch;No;Niagara Cutter;HSK-A63;38.1;1.5;39;N/A;12;13.911;156.0;39.0;141.0;6;N/A;0.06;VHM;None;Type 2;6_E_15;14;4;10;0;N/A;N/A;N/A;1_C_1;48;tool;Radius T-Slot Mill
Face Mill;0;0;0;0;1;90JCV212;795.8934.8666;inch;No;Garant;HSK-A63;38.1;1.5;13;N/A;N/A;N/A;135.47;22.0;42.88;5;N/A;N/A;VHM;Aluminium Titanium Nitride;Type 3;1_E_3;3;0;3;3;N/A;N/A;N/A;N/A;0;tool;Face Mill
Drill;0;0;0;0;1;45ZNW761;741.3037.2797;mm;Yes;Sandvik;HSK-A63;2;0.0787;13;N/A;N/A;N/A;60.36;33.0;43.02;2;30°;N/A;HSS;Titanium Nitride;N/A;1_B_11;9;4;5;0;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Face Mill;0;0;0;0;1;12TIP175;739.5980.1969;inch;Yes;SECO;SK-40;38.1;1.5;44;N/A;N/A;N/A;100.5;15.0;78.31;2;45°;N/A;HSS;Aluminium Titanium Nitride;Type 2;3_A_6;13;4;9;13;3_B_1;N/A;N/A;N/A;25;tool;Face Mill
End Mill;0;0;0;0;0;88GUM340;786.6389.2325;mm;Yes;SECO;SK-40;1.5;0.0591;42;N/A;N/A;N/A;65.1;32.17;37.3;9;90°;N/A;HSS;Diamond;Type 3;3_F_10;5;4;1;0;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Face Mill;0;0;0;0;1;78PQY264;707.8486.7149;inch;Yes;KENNAMETAL;SK-40;44.45;1.75;46;N/A;N/A;N/A;67.0;13.82;27.0;3;90°;0.03;VHM;Diamond;Type 3;2_F_11;4;4;0;0;N/A;N/A;6_C_10;N/A;38;tool;Face Mill
T-Slot Mill;0;0;0;0;1;10RIZ228;757.8471.1683;mm;No;KENNAMETAL;SK-40;4.5;0.1772;24;N/A;15;11.22;61.0;41.0;49.14;1;45°;N/A;HSS;Titanium Nitride;Type 1;6_D_5;5;5;0;3;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Chamfer Mill;0;0;0;0;1;95SZV486;709.3251.2617;mm;Yes;Niagara Cutter;HSK-A63;1;0.0394;36;N/A;N/A;N/A;164.0;31.0;36.0;9;45°;1;HSS;None;Type 3;4_A_7;8;2;6;3;N/A;N/A;N/A;3_A_8;1;tool;Double-sided Chamfer Mill
End Mill;0;0;0;0;1;65NXK944;740.9322.2821;inch;No;KENNAMETAL;HSK-A63;50.8;2;29;N/A;N/A;N/A;141.41;13.0;80.04;10;45°;0.12;HSS;None;N/A;4_C_13;11;4;7;10;N/A;N/A;N/A;N/A;0;tool;Roughing End Mill
Face Mill;0;1;0;0;0;75FQN356;753.9800.1863;mm;No;Sandvik;SK-40;4.5;0.1772;27;N/A;N/A;N/A;58.0;32.68;46.2;2;30°;0.4;VHM;Titanium Nitride;Type 3;5_C_5;8;1;7;6;N/A;6_F_12;N/A;N/A;34;tool;High-feed Face Mill
End Mill;0;0;1;0;0;91AGI701;800.8149.4337;mm;Yes;Niagara Cutter;SK-40;2.5;0.0984;18;N/A;N/A;N/A;172.97;19.0;35.0;7;45°;3;HSS;Diamond;N/A;4_A_7;10;0;10;10;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
T-Slot Mill;0;0;0;0;1;85XQQ931;729.5647.9391;mm;Yes;KENNAMETAL;SK-40;20;0.7874;30;N/A;14;9.0105;147.04;18.05;91.0;6;N/A;3;HSS;None;Type 2;3_E_5;9;5;4;2;N/A;N/A;1_F_1;N/A;48;tool;Radius T-Slot Mill
Chamfer Mill;0;0;0;0;1;56JCY120;764.1688.1432;mm;Yes;SECO;HSK-A63;6;0.2362;34;N/A;N/A;N/A;53.0;12.39;41.16;2;45°;N/A;VHM;Aluminium Titanium Nitride;Type 1;4_E_11;1;1;0;0;3_E_4;N/A;N/A;N/A;2;tool;Double-sided Chamfer Mill
Face Mill;1;1;0;0;0;44BWR968;761.9278.4992;inch;No;KENNAMETAL;SK-40;12.7;0.5;31;N/A;N/A;N/A;68.0;34.0;64.0;7;90°;0.12;VHM;Diamond;Type 3;5_C_15;12;2;10;0;N/A;N/A;6_F_9;N/A;47;tool;Face Mill
End Mill;1;1;0;1;0;96YVH700;749.8565.4879;inch;No;Garant;HSK-A63;38.1;1.5;49;N/A;N/A;N/A;200.0;83.0;136.81;4;45°;N/A;HSS;Diamond;Type 2;6_F_3;9;1;8;8;N/A;N/A;N/A;N/A;0;tool;Chamfer Ended End Mill
End Mill;0;0;0;0;0;19CAI330;750.8494.7095;inch;Yes;Garant;SK-40;25.4;1;17;N/A;N/A;N/A;53.17;42.38;44.0;7;45°;N/A;HSS;Diamond;Type 3;3_B_11;13;4;9;2;N/A;N/A;N/A;N/A;0;tool;Single Flute End Mill
Face Mill;0;0;1;1;0;21ZDF942;708.2558.5130;inch;No;Niagara Cutter;HSK-A63;12.7;0.5;31;N/A;N/A;N/A;91.0;13.34;44.0;8;90°;0.06;VHM;Diamond;Type 3;4_C_11;13;3;10;12;N/A;N/A;N/A;6_E_14;43;tool;Face Mill
End Mill;0;0;0;0;1;76IBG794;761.4790.8439;mm;No;SECO;HSK-A63;1;0.0394;18;N/A;N/A;N/A;71.37;14.0;45.0;3;90°;N/A;HSS;Diamond;Type 1;4_C_5;13;3;10;9;2_E_11;N/A;N/A;N/A;27;tool;Single Flute End Mill
Sphere Mill;0;0;0;0;1;22DEJ977;799.4773.8153;inch;Yes;Niagara Cutter;SK-40;50.8;2;37;N/A;N/A;N/A;134.78;46.23;92.67;2;N/A;0.03;HSS;Titanium Nitride;N/A;1_D_11;1;0;1;1;N/A;N/A;N/A;3_C_10;28;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;42CVN177;773.6807.4097;mm;No;Sandvik;HSK-A63;2;0.0787;29;N/A;N/A;N/A;93.5;73.0;76.0;1;30°;N/A;VHM;Titanium Nitride;Type 3;2_A_2;7;1;6;4;N/A;3_E_11;N/A;N/A;46;tool;Double-sided Chamfer Mill
End Mill;0;1;1;1;0;51SMV823;710.9453.1919;mm;Yes;Garant;HSK-A63;1;0.0394;35;N/A;N/A;N/A;50.16;33.0;38.0;8;45°;2;HSS;None;Type 2;6_C_3;9;5;4;0;N/A;N/A;N/A;N/A;0;tool;Roughing End Mill
Chamfer Mill;0;0;0;0;1;71OXC831;739.9107.1654;inch;No;Garant;SK-40;3.175;0.125;43;N/A;N/A;N/A;190.51;78.4;89.0;7;N/A;0.03;HSS;None;Type 2;1_F_4;9;5;4;9;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;1;14XWQ834;761.7143.8357;mm;No;Garant;HSK-A63;4;0.1575;26;N/A;N/A;N/A;70.0;42.0;46.56;10;45°;0.4;HSS;Titanium Nitride;Type 1;1_E_1;11;1;10;9;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Chamfer Mill;0;0;0;0;0;82IRO182;771.3804.6886;inch;No;KENNAMETAL;HSK-A63;50.8;2;25;N/A;N/A;N/A;115.0;11.14;22.14;10;30°;0.06;HSS;None;Type 3;4_C_9;3;0;3;1;N/A;N/A;3_B_14;N/A;32;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;1;55TES791;747.1615.4200;mm;Yes;KENNAMETAL;HSK-A63;3.5;0.1378;37;N/A;N/A;N/A;53.43;29.68;38.0;6;90°;N/A;HSS;None;N/A;1_C_5;13;5;8;2;N/A;N/A;4_A_6;N/A;6;tool;Face Mill
Sphere Mill;1;0;0;0;0;58WVS432;721.2143.2084;mm;No;KENNAMETAL;SK-40;6;0.2362;40;N/A;N/A;N/A;106.72;26.97;52.55;3;90°;N/A;VHM;None;N/A;3_A_3;4;0;4;0;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Sphere Mill;1;1;0;0;0;29ZUD519;768.7754.6418;mm;Yes;KENNAMETAL;HSK-A63;4;0.1575;43;N/A;N/A;N/A;78.07;13.13;52.0;5;45°;0.5;VHM;None;Type 1;2_B_5;7;2;5;3;N/A;N/A;2_D_15;N/A;41;tool;Sphere Mill
End Mill;0;0;0;0;1;13NYE347;797.2613.1708;mm;No;SECO;SK-40;20;0.7874;11;N/A;N/A;N/A;157.0;11.05;102.0;1;30°;N/A;HSS;Diamond;N/A;6_D_9;9;1;8;2;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Drill;0;0;1;0;0;93RRF689;716.1973.1009;inch;Yes;Garant;HSK-A63;9.525;0.375;24;N/A;N/A;N/A;99.0;51.06;74.0;3;45°;0.03;HSS;Titanium Nitride;Type 3;3_F_14;11;2;9;0;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Face Mill;1;0;0;0;0;85TGR278;725.1921.6635;inch;No;Niagara Cutter;HSK-A63;15.875;0.625;49;N/A;N/A;N/A;73.0;53.0;62.95;7;90°;0.03;HSS;None;Type 1;2_B_8;9;2;7;1;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Drill;1;0;0;0;0;80KLQ691;701.3343.8869;mm;Yes;SECO;SK-40;3.5;0.1378;31;N/A;N/A;N/A;184.47;18.39;37.0;8;N/A;0.5;VHM;None;Type 2;4_C_12;4;2;2;0;3_B_4;N/A;N/A;N/A;38;tool;Pilot Drill
T-Slot Mill;0;1;1;0;0;59QZH505;772.7774.9318;mm;No;Niagara Cutter;SK-40;8;0.315;14;N/A;20;13.3395;53.0;28.0;44.0;8;N/A;2;VHM;Diamond;Type 3;5_C_14;8;5;3;4;N/A;N/A;N/A;N/A;0;tool;Radius T-Slot Mill
End Mill;0;0;0;0;1;82GHL556;776.8362.5251;inch;No;KENNAMETAL;HSK-A63;9.525;0.375;46;N/A;N/A;N/A;128.0;31.0;60.64;5;N/A;0.03;HSS;Titanium Nitride;N/A;3_E_2;5;3;2;3;N/A;N/A;N/A;N/A;0;tool;Ball Nose End Mill
Chamfer Mill;0;1;0;0;0;13HNP360;782.9064.5594;inch;Yes;Sandvik;SK-40;25.4;1;37;N/A;N/A;N/A;79.15;28.0;38.68;9;90°;N/A;VHM;Diamond;Type 2;3_C_8;4;4;0;2;N/A;4_E_15;N/A;N/A;2;tool;Double-sided Chamfer Mill
End Mill;1;1;1;0;0;83IEE250;786.7870.3041;mm;Yes;Sandvik;HSK-A63;4.5;0.1772;30;N/A;N/A;N/A;70.0;52.43;66.96;2;N/A;0.3;VHM;None;Type 2;1_B_3;10;0;10;5;N/A;N/A;N/A;N/A;0;tool;Roughing End Mill
End Mill;0;1;0;0;0;75BER505;740.9983.6897;mm;No;Sandvik;HSK-A63;4.5;0.1772;27;N/A;N/A;N/A;151.0;112.0;116.56;9;30°;0.3;HSS;Aluminium Titanium Nitride;Type 2;2_E_15;4;3;1;2;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
Face Mill;0;0;1;1;0;14CXR756;719.5323.7055;inch;Yes;Garant;SK-40;9.525;0.375;49;N/A;N/A;N/A;132.0;28.41;130.22;3;30°;0.12;HSS;Diamond;Type 2;1_B_1;5;1;4;0;N/A;N/A;N/A;N/A;0;tool;Face Mill
End Mill;0;0;0;0;1;69YWN831;793.4271.1228;mm;Yes;KENNAMETAL;SK-40;5;0.1969;40;N/A;N/A;N/A;148.86;56.44;85.0;1;90°;0.5;VHM;Diamond;Type 2;1_D_4;6;4;2;4;N/A;N/A;N/A;N/A;0;tool;Variable Helix End Mill
Chamfer Mill;1;1;1;1;0;89KSU879;796.8583.4460;mm;No;KENNAMETAL;HSK-A63;1.5;0.0591;17;N/A;N/A;N/A;61.98;40.79;50.0;5;N/A;0.4;VHM;Aluminium Titanium Nitride;Type 1;2_C_4;11;1;10;11;N/A;N/A;4_E_4;N/A;36;tool;Double-sided Chamfer Mill
Drill;1;0;0;0;0;79NDG187;739.6302.9468;mm;No;Sandvik;HSK-A63;3.5;0.1378;19;N/A;N/A;N/A;168.0;44.0;130.0;8;N/A;2;VHM;None;Type 3;4_D_7;3;3;0;1;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Thread Tap;0;1;1;0;0;65LXY228;795.7463.8781;inch;No;Niagara Cutter;SK-40;44.45;1.75;49;M3;N/A;N/A;90.06;20.56;30.0;10;N/A;0.06;HSS;Diamond;Type 3;2_E_1;6;1;5;6;N/A;N/A;N/A;N/A;0;tool;Thru-hole Thread Tap
Chamfer Mill;0;0;0;0;1;50IJH707;739.4149.9548;inch;No;Garant;HSK-A63;19.05;0.75;43;N/A;N/A;N/A;163.0;18.0;25.82;2;30°;0.06;HSS;Titanium Nitride;Type 2;6_C_9;8;1;7;8;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
T-Slot Mill;0;1;1;0;0;84BMX332;787.7933.8751;inch;No;KENNAMETAL;HSK-A63;25.4;1;43;N/A;5;5.7687;190.89;68.0;104.0;7;30°;0.12;HSS;None;Type 1;6_D_3;11;1;10;3;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Sphere Mill;0;1;1;1;0;61YMC746;798.9484.9296;inch;No;Niagara Cutter;SK-40;44.45;1.75;47;N/A;N/A;N/A;58.0;17.65;32.0;6;N/A;0.06;HSS;Diamond;Type 2;5_F_15;9;0;9;7;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Drill;0;0;0;0;1;14DHQ128;701.1405.3970;mm;No;SECO;HSK-A63;10;0.3937;25;N/A;N/A;N/A;147.18;32.82;67.0;7;90°;0.4;HSS;Aluminium Titanium Nitride;Type 2;6_B_6;4;3;1;2;N/A;N/A;N/A;N/A;0;tool;Flat-end Drill
Face Mill;1;0;1;1;0;99OHT158;739.4641.9206;inch;No;KENNAMETAL;HSK-A63;6.35;0.25;37;N/A;N/A;N/A;70.19;48.61;61.5;2;90°;N/A;HSS;None;N/A;2_D_3;14;5;9;3;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Drill;0;0;0;0;1;99DUS947;770.4090.2432;mm;No;KENNAMETAL;SK-40;4;0.1575;47;N/A;N/A;N/A;141.0;62.0;72.0;5;N/A;N/A;VHM;Titanium Nitride;Type 3;5_A_12;10;0;10;3;N/A;N/A;4_E_1;N/A;30;tool;Pilot Drill
Sphere Mill;0;0;0;0;0;97UAO343;800.5215.9467;mm;No;SECO;HSK-A63;3.5;0.1378;27;N/A;N/A;N/A;97.0;37.0;81.79;3;45°;N/A;VHM;None;N/A;3_E_6;7;4;3;1;N/A;N/A;N/A;N/A;0;tool;Sphere Mill
Thread Tap;0;0;0;0;1;77QTG717;761.9027.7847;inch;Yes;Sandvik;SK-40;12.7;0.5;40;M12;N/A;N/A;185.36;136.06;138.0;10;90°;0.03;VHM;Aluminium Titanium Nitride;N/A;5_A_14;5;2;3;5;N/A;5_B_2;N/A;N/A;25;tool;Thru-hole Thread Tap
Chamfer Mill;0;0;0;0;1;92AID242;770.6136.2996;mm;Yes;Garant;HSK-A63;20;0.7874;25;N/A;N/A;N/A;56.0;13.24;24.3;1;30°;0.5;VHM;Titanium Nitride;N/A;1_B_9;11;2;9;6;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Sphere Mill;0;0;0;1;0;34SAI769;719.1807.9584;mm;No;KENNAMETAL;HSK-A63;3;0.1181;13;N/A;N/A;N/A;51.0;13.0;40.0;1;90°;0.5;VHM;None;Type 1;2_E_7;6;2;4;0;N/A;N/A;1_E_15;N/A;43;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;20URI138;781.9355.4867;inch;Yes;KENNAMETAL;HSK-A63;25.4;1;19;N/A;N/A;N/A;55.0;25.76;36.0;7;90°;N/A;VHM;Aluminium Titanium Nitride;Type 2;5_D_5;4;2;2;0;N/A;N/A;3_A_14;N/A;0;tool;Double-sided Chamfer Mill
Chamfer Mill;1;1;0;1;0;73YGA953;703.1545.1495;inch;No;Sandvik;SK-40;12.7;0.5;19;N/A;N/A;N/A;153.0;32.18;124.8;9;30°;0.03;VHM;Diamond;Type 2;6_D_13;3;2;1;0;N/A;5_D_9;N/A;N/A;48;tool;Double-sided Chamfer Mill
T-Slot Mill;0;0;0;0;1;49FHG799;782.9720.7397;mm;Yes;Garant;SK-40;10;0.3937;17;N/A;9;13.0263;156.0;29.58;119.0;8;90°;N/A;VHM;Diamond;Type 2;6_F_10;2;0;2;2;N/A;N/A;N/A;N/A;0;tool;T-Slot Mill
Face Mill;0;0;0;0;0;78NVX394;726.9119.4031;inch;Yes;Niagara Cutter;HSK-A63;9.525;0.375;39;N/A;N/A;N/A;133.0;13.16;40.0;9;N/A;0.06;VHM;Aluminium Titanium Nitride;N/A;3_A_4;7;5;2;1;N/A;N/A;N/A;4_B_11;29;tool;High-feed Face Mill
Chamfer Mill;1;0;0;0;0;12RWN135;715.3151.8574;inch;Yes;Garant;SK-40;38.1;1.5;35;N/A;N/A;N/A;183.0;32.0;39.26;1;N/A;N/A;VHM;None;Type 1;4_D_5;10;4;6;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Thread Tap;0;0;0;0;1;62FLI678;725.5077.7462;mm;No;Sandvik;HSK-A63;4;0.1575;37;M12;N/A;N/A;125.8;107.0;119.82;1;90°;0.5;HSS;Diamond;Type 3;1_C_12;6;2;4;1;N/A;3_B_1;N/A;N/A;50;tool;Thru-hole Thread Tap
Drill;0;0;0;0;1;81VSB909;754.2167.8515;mm;Yes;Niagara Cutter;SK-40;4;0.1575;40;N/A;N/A;N/A;134.28;14.48;71.0;4;30°;0.3;VHM;Diamond;Type 2;1_E_14;3;0;3;2;N/A;N/A;N/A;2_E_15;18;tool;Flat-end Drill
Drill;0;0;0;0;1;35KPV161;722.3892.8603;inch;Yes;Niagara Cutter;SK-40;12.7;0.5;22;N/A;N/A;N/A;187.0;28.0;39.33;4;45°;0.06;VHM;Diamond;N/A;4_D_7;4;0;4;0;N/A;N/A;N/A;4_D_13;30;tool;Pilot Drill
Face Mill;0;0;0;0;1;55MUJ662;748.9432.1591;inch;No;Sandvik;HSK-A63;15.875;0.625;50;N/A;N/A;N/A;58.0;39.0;42.09;5;45°;N/A;VHM;Titanium Nitride;Type 2;1_C_9;7;3;4;6;N/A;3_F_5;N/A;N/A;0;tool;Face Mill
End Mill;0;0;0;0;1;24YVE323;798.1448.7743;inch;No;Niagara Cutter;SK-40;50.8;2;23;N/A;N/A;N/A;67.57;16.17;44.18;7;45°;N/A;HSS;Aluminium Titanium Nitride;Type 1;2_C_7;10;0;10;10;N/A;N/A;N/A;2_F_13;46;tool;Ball Nose End Mill
Chamfer Mill;0;0;0;0;1;72GGX511;710.8438.3149;mm;Yes;SECO;SK-40;5;0.1969;20;N/A;N/A;N/A;66.0;23.86;30.0;4;N/A;N/A;VHM;Titanium Nitride;N/A;4_E_5;11;3;8;3;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;1;1;1;0;36EPN299;731.4696.3640;inch;Yes;Niagara Cutter;HSK-A63;44.45;1.75;40;N/A;N/A;N/A;112.0;16.0;25.0;7;90°;N/A;VHM;None;N/A;6_A_5;7;4;3;7;N/A;N/A;N/A;3_F_5;44;tool;High-feed Face Mill
End Mill;0;0;0;1;0;43HZI522;701.3343.1100;mm;Yes;Niagara Cutter;SK-40;3;0.1181;17;N/A;N/A;N/A;53.84;18.8;31.07;8;90°;N/A;VHM;Aluminium Titanium Nitride;N/A;1_C_10;7;2;5;3;N/A;N/A;N/A;6_B_6;11;tool;Ball Nose End Mill
Chamfer Mill;1;1;0;0;0;56TEL852;790.2890.6889;inch;No;SECO;HSK-A63;44.45;1.75;29;N/A;N/A;N/A;112.17;45.34;47.0;10;90°;N/A;HSS;None;Type 3;2_C_1;11;5;6;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
End Mill;0;0;1;0;0;15KSX715;765.8333.7993;inch;No;Sandvik;SK-40;44.45;1.75;35;N/A;N/A;N/A;100.0;36.0;73.0;7;N/A;0.06;HSS;Aluminium Titanium Nitride;N/A;6_B_12;7;5;2;4;N/A;5_A_7;N/A;N/A;10;tool;Chamfer Ended End Mill
Drill;0;0;0;0;1;76JSZ315;728.3273.4499;mm;Yes;SECO;SK-40;1;0.0394;42;N/A;N/A;N/A;146.0;41.0;60.45;4;90°;3;VHM;None;Type 3;3_C_12;0;0;0;0;N/A;N/A;N/A;N/A;0;tool;Pilot Drill
Sphere Mill;0;0;0;0;1;98IMH578;719.9807.6990;inch;Yes;KENNAMETAL;HSK-A63;31.75;1.25;26;N/A;N/A;N/A;104.5;16.29;46.34;7;90°;0.06;HSS;None;Type 2;4_B_15;2;1;1;2;N/A;N/A;3_D_10;N/A;25;tool;Sphere Mill
Drill;1;1;1;0;0;31PWX361;776.6831.8960;inch;No;SECO;SK-40;12.7;0.5;49;N/A;N/A;N/A;61.81;12.0;37.58;9;45°;0.12;HSS;None;Type 1;2_D_1;10;0;10;2;N/A;N/A;N/A;N/A;0;tool;Modular Drill
Thread Tap;0;0;1;1;0;65CBT761;761.4675.6079;mm;No;Niagara Cutter;HSK-A63;16;0.6299;13;M6;N/A;N/A;178.84;12.0;47.82;9;30°;0.4;HSS;Titanium Nitride;Type 2;1_D_3;9;1;8;0;N/A;N/A;N/A;5_D_14;44;tool;Thru-hole Thread Tap
Face Mill;0;0;0;0;1;90IVG147;765.3649.9269;mm;Yes;Niagara Cutter;HSK-A63;20;0.7874;48;N/A;N/A;N/A;163.0;18.0;60.37;5;N/A;0.5;HSS;Titanium Nitride;Type 3;1_E_3;5;2;3;3;N/A;N/A;N/A;2_D_15;11;tool;Face Mill
End Mill;0;1;0;0;0;69RWT937;755.3767.2363;mm;No;SECO;SK-40;8;0.315;11;N/A;N/A;N/A;164.0;30.22;117.91;8;90°;N/A;HSS;Aluminium Titanium Nitride;Type 3;4_F_14;13;4;9;7;5_E_5;N/A;N/A;N/A;1;tool;Ball Nose End Mill
Sphere Mill;0;0;0;0;1;32TDA538;733.6274.8117;inch;Yes;KENNAMETAL;SK-40;19.05;0.75;10;N/A;N/A;N/A;71.0;29.44;30.71;1;90°;0.12;VHM;Aluminium Titanium Nitride;N/A;2_D_15;4;4;0;0;N/A;N/A;2_D_11;N/A;17;tool;Sphere Mill
Chamfer Mill;0;0;0;0;1;55JLV262;708.5208.4708;inch;Yes;Niagara Cutter;SK-40;6.35;0.25;27;N/A;N/A;N/A;190.0;13.0;68.24;1;30°;N/A;HSS;None;Type 3;6_A_13;6;3;3;0;N/A;N/A;N/A;N/A;0;tool;Double-sided Chamfer Mill
Face Mill;0;0;0;0;1;88BJN374;795.9776.4747;inch;No;SECO;HSK-A63;31.75;1.25;21;N/A;N/A;N/A;153.0;34.0;73.0;2;30°;N/A;HSS;Diamond;Type 3;4_E_4;9;5;4;0;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
Face Mill;0;0;0;0;1;40ZAZ984;755.2291.5349;mm;Yes;SECO;SK-40;3;0.1181;46;N/A;N/A;N/A;120.0;18.0;34.0;2;45°;N/A;VHM;Diamond;Type 1;5_D_8;8;3;5;7;N/A;N/A;N/A;N/A;0;tool;High-feed Face Mill
